Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
H.R. 4356,https://www.congress.gov/bill/116th-congress/house-bill/4356,116th Congress (2019-2020),Protecting Families of Fallen Servicemembers Act,"Harder, Josh [Rep.-D-CA-10]",Democratic,09/17/2019,Became Public Law No: 116-285.,01/05/2021,2,S.2963,H.R.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4334,https://www.congress.gov/bill/116th-congress/house-bill/4334,116th Congress (2019-2020),Supporting Older Americans Act of 2020,"Bonamici, Suzanne [Rep.-D-OR-1]",Democratic,09/16/2019,Became Public Law No: 116-131.,03/25/2020,9,H.R.4833,H.R.4846,H.R.4853,H.R.4859,H.R.5323,S.1671,S.2696,S.3057,H.R.3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4285,https://www.congress.gov/bill/116th-congress/house-bill/4285,116th Congress (2019-2020),Department of Veterans Affairs Expiring Authorities Act of 2019,"Brindisi, Anthony [Rep.-D-NY-22]",Democratic,09/11/2019,Became Public Law No: 116-61.,09/30/2019,2,S.2484,S.2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4279,https://www.congress.gov/bill/116th-congress/house-bill/4279,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the Melinda Gene Piccotti Post Office.","Keller, Fred [Rep.-R-PA-12]",Republican,09/11/2019,Became Public Law No: 116-237.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4258,https://www.congress.gov/bill/116th-congress/house-bill/4258,116th Congress (2019-2020),Reauthorizing Security for Supreme Court Justices Act of 2019,"Stanton, Greg [Rep.-D-AZ-9]",Democratic,09/09/2019,Became Public Law No: 116-75.,11/27/2019,1,S.2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4200,https://www.congress.gov/bill/116th-congress/house-bill/4200,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 321 South 1st Street in Montrose, Colorado, as the Sergeant David Kinterknecht Post Office.","Tipton, Scott  R. [Rep.-R-CO-3]",Republican,08/20/2019,Became Public Law No: 116-236.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4183,https://www.congress.gov/bill/116th-congress/house-bill/4183,116th Congress (2019-2020),Identifying Barriers and Best Practices Study Act,"Khanna, Ro [Rep.-D-CA-17]",Democratic,08/13/2019,Became Public Law No: 116-187.,10/30/2020,1,S.3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4104,https://www.congress.gov/bill/116th-congress/house-bill/4104,116th Congress (2019-2020),Negro Leagues Baseball Centennial Commemorative Coin Act,"Cleaver, Emanuel [Rep.-D-MO-5]",Democratic,07/30/2019,Became Public Law No: 116-209.,12/04/2020,2,S.2321,S.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4044,https://www.congress.gov/bill/116th-congress/house-bill/4044,116th Congress (2019-2020),Protect and Restore America's Estuaries Act,"Malinowski, Tom [Rep.-D-NJ-7]",Democratic,07/25/2019,Became Public Law No: 116-337.,01/13/2021,1,S.3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4034,https://www.congress.gov/bill/116th-congress/house-bill/4034,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 602 Pacific Avenue in Bremerton, Washington, as the John Henry Turpin Post Office Building.","Kilmer, Derek [Rep.-D-WA-6]",Democratic,07/25/2019,Became Public Law No: 116-235.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4031,https://www.congress.gov/bill/116th-congress/house-bill/4031,116th Congress (2019-2020),GLRI Act of 2019,"Joyce, David P. [Rep.-R-OH-14]",Republican,07/25/2019,Became Public Law No: 116-294.,01/05/2021,2,S.2295,S.3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3976,https://www.congress.gov/bill/116th-congress/house-bill/3976,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 12711 East Jefferson Avenue in Detroit, Michigan, as the Aretha Franklin Post Office Building.","Lawrence, Brenda L. [Rep.-D-MI-14]",Democratic,07/25/2019,Became Public Law No: 116-293.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3889,https://www.congress.gov/bill/116th-congress/house-bill/3889,116th Congress (2019-2020),ONDCP Technical Corrections Act of 2019,"Rouda, Harley [Rep.-D-CA-48]",Democratic,07/23/2019,Became Public Law No: 116-74.,11/27/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3877,https://www.congress.gov/bill/116th-congress/house-bill/3877,116th Congress (2019-2020),Bipartisan Budget Act of 2019,"Yarmuth, John A. [Rep.-D-KY-3]",Democratic,07/23/2019,Became Public Law No: 116-37.,08/02/2019,3,H.R.2021,H.Res.519,H.Res.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3870,https://www.congress.gov/bill/116th-congress/house-bill/3870,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 511 West 165th Street in New York, New York, as the Normandia Maldonado Post Office Building.","Espaillat, Adriano [Rep.-D-NY-13]",Democratic,07/22/2019,Became Public Law No: 116-234.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3847,https://www.congress.gov/bill/116th-congress/house-bill/3847,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 117 West Poythress Street in Hopewell, Virginia, as the Reverend Curtis West Harris Post Office Building.","McEachin, A. Donald [Rep.-D-VA-4]",Democratic,07/18/2019,Became Public Law No: 116-233.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3680,https://www.congress.gov/bill/116th-congress/house-bill/3680,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building"".","Kustoff, David [Rep.-R-TN-8]",Republican,07/10/2019,Became Public Law No: 116-232.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3589,https://www.congress.gov/bill/116th-congress/house-bill/3589,116th Congress (2019-2020),Greg LeMond Congressional Gold Medal Act,"Thompson, Mike [Rep.-D-CA-5]",Democratic,06/27/2019,Became Public Law No: 116-208.,12/04/2020,1,S.2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3504,https://www.congress.gov/bill/116th-congress/house-bill/3504,116th Congress (2019-2020),Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,06/26/2019,Became Public Law No: 116-154.,08/08/2020,6,S.2022,H.R.3535,H.R.3640,S.2265,S.1283,H.R.2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3465,https://www.congress.gov/bill/116th-congress/house-bill/3465,116th Congress (2019-2020),Fallen Journalists Memorial Act,"Napolitano, Grace F. [Rep.-D-CA-32]",Democratic,06/25/2019,Became Public Law No: 116-253.,12/23/2020,1,S.1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3401,https://www.congress.gov/bill/116th-congress/house-bill/3401,116th Congress (2019-2020),"Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border Act, 2019","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,06/21/2019,Became Public Law No: 116-26.,07/01/2019,3,S.1900,H.Res.462,H.Res.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3399,https://www.congress.gov/bill/116th-congress/house-bill/3399,116th Congress (2019-2020),"To amend the Nutria Eradication and Control Act of 2003 to include California in the program, and for other purposes.","Harder, Josh [Rep.-D-CA-10]",Democratic,06/21/2019,Became Public Law No: 116-186.,10/30/2020,2,S.4403,S.4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3349,https://www.congress.gov/bill/116th-congress/house-bill/3349,116th Congress (2019-2020),Republic of Texas Legation Memorial Act,"Doggett, Lloyd [Rep.-D-TX-35]",Democratic,06/19/2019,Became Public Law No: 116-248.,12/22/2020,1,S.4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3329,https://www.congress.gov/bill/116th-congress/house-bill/3329,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 5186 Benito Street in Montclair, California, as the Paul Eaton Post Office Building.","Torres, Norma J. [Rep.-D-CA-35]",Democratic,06/18/2019,Became Public Law No: 116-199.,12/03/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3317,https://www.congress.gov/bill/116th-congress/house-bill/3317,116th Congress (2019-2020),"To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes.","Hill, J. French [Rep.-R-AR-2]",Republican,06/18/2019,Became Public Law No: 116-198.,12/03/2020,1,S.3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3314,https://www.congress.gov/bill/116th-congress/house-bill/3314,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1750 McCulloch Boulevard North in Lake Havasu City, Arizona, as the Lake Havasu City Combat Veterans Memorial Post Office Building.","Gosar, Paul A. [Rep.-R-AZ-4]",Republican,06/18/2019,Became Public Law No: 116-90.,12/13/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3311,https://www.congress.gov/bill/116th-congress/house-bill/3311,116th Congress (2019-2020),Small Business Reorganization Act of 2019,"Cline, Ben [Rep.-R-VA-6]",Republican,06/18/2019,Became Public Law No: 116-54.,08/23/2019,1,S.1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3305,https://www.congress.gov/bill/116th-congress/house-bill/3305,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 2509 George Mason Drive in Virginia Beach, Virginia, as the Ryan Keith Cox Post Office Building.","Luria, Elaine G. [Rep.-D-VA-2]",Democratic,06/18/2019,Became Public Law No: 116-47.,08/21/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3304,https://www.congress.gov/bill/116th-congress/house-bill/3304,116th Congress (2019-2020),National Guard and Reservists Debt Relief Extension Act of 2019,"Cohen, Steve [Rep.-D-TN-9]",Democratic,06/18/2019,Became Public Law No: 116-53.,08/23/2019,1,S.2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3275,https://www.congress.gov/bill/116th-congress/house-bill/3275,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 340 Wetmore Avenue in Grand River, Ohio, as the Lance Corporal Andy Ace Nowacki Post Office.","Joyce, David P. [Rep.-R-OH-14]",Republican,06/13/2019,Became Public Law No: 116-231.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3253,https://www.congress.gov/bill/116th-congress/house-bill/3253,116th Congress (2019-2020),Sustaining Excellence in Medicaid Act of 2019,"Dingell, Debbie [Rep.-D-MI-12]",Democratic,06/13/2019,Became Public Law No: 116-39.,08/06/2019,5,H.R.3276,S.548,S.2379,H.R.233,H.R.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3250,https://www.congress.gov/bill/116th-congress/house-bill/3250,116th Congress (2019-2020),Julius Rosenwald and the Rosenwald Schools Act of 2020,"Davis, Danny K. [Rep.-D-IL-7]",Democratic,06/13/2019,Became Public Law No: 116-336.,01/13/2021,1,S.1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3245,https://www.congress.gov/bill/116th-congress/house-bill/3245,116th Congress (2019-2020),Restore the Harmony Way Bridge Act,"Bucshon, Larry [Rep.-R-IN-8]",Republican,06/13/2019,Became Public Law No: 116-56.,08/23/2019,2,S.1833,S.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
