Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
H.R. 7810,https://www.congress.gov/bill/116th-congress/house-bill/7810,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 3519 East Walnut Street in Pearland, Texas, as the Tom Reid Post Office Building.","Olson, Pete [Rep.-R-TX-22]",Republican,07/29/2020,Became Public Law No: 116-320.,01/05/2021,1,S.4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7502,https://www.congress.gov/bill/116th-congress/house-bill/7502,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 101 South 16th Street in Clarinda, Iowa, as the Jessie Field Shambaugh Post Office Building.","Axne, Cynthia [Rep.-D-IA-3]",Democratic,07/09/2020,Became Public Law No: 116-319.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7460,https://www.congress.gov/bill/116th-congress/house-bill/7460,116th Congress (2019-2020),Peace Corps Commemorative Work Extension Act,"Kennedy, Joseph P., III [Rep.-D-MA-4]",Democratic,07/01/2020,Became Public Law No: 116-318.,01/05/2021,1,S.4128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7440,https://www.congress.gov/bill/116th-congress/house-bill/7440,116th Congress (2019-2020),Hong Kong Autonomy Act,"Sherman, Brad [Rep.-D-CA-30]",Democratic,07/01/2020,Became Public Law No: 116-149.,07/14/2020,3,H.R.7083,S.3798,S.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7347,https://www.congress.gov/bill/116th-congress/house-bill/7347,116th Congress (2019-2020),"To designate the medical center of the Department of Veterans Affairs in Ann Arbor, Michigan, as the Lieutenant Colonel Charles S. Kettles Department of Veterans Affairs Medical Center.","Dingell, Debbie [Rep.-D-MI-12]",Democratic,06/25/2020,Became Public Law No: 116-317.,01/05/2021,1,S.4070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7259,https://www.congress.gov/bill/116th-congress/house-bill/7259,116th Congress (2019-2020),Patents for Humanity Program Improvement Act,"McBath, Lucy [Rep.-D-GA-6]",Democratic,06/18/2020,Became Public Law No: 116-316.,01/05/2021,1,S.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7105,https://www.congress.gov/bill/116th-congress/house-bill/7105,116th Congress (2019-2020),"Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits Improvement Act of 2020","Levin, Mike [Rep.-D-CA-49]",Democratic,06/04/2020,Became Public Law No: 116-315.,01/05/2021,34,S.3898,H.R.2398,S.4566,H.R.6018,H.R.1271,H.R.1947,H.R.2109,H.R.3608,H.R.4312,H.R.4477,H.R.4532,H.R.4908,H.R.6140,H.R.6589,H.R.7009,H.R.7287,H.R.7584,H.R.7811,H.R.8076,H.R.8415,H.R.8426,H.R.8483,H.R.8813,S.1621,S.2558,S.2806,S.2988,S.3788,S.4086,S.4365,S.4460,S.4656,S.4909,H.R.2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7088,https://www.congress.gov/bill/116th-congress/house-bill/7088,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the Senator Jack Hill Post Office Building.","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,06/04/2020,Became Public Law No: 116-314.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 7010,https://www.congress.gov/bill/116th-congress/house-bill/7010,116th Congress (2019-2020),Paycheck Protection Program Flexibility Act of 2020,"Phillips, Dean [Rep.-D-MN-3]",Democratic,05/26/2020,Became Public Law No: 116-142.,06/05/2020,2,H.R.6886,S.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6535,https://www.congress.gov/bill/116th-congress/house-bill/6535,116th Congress (2019-2020),"To deem an urban Indian organization and employees thereof to be a part of the Public Health Service for the purposes of certain claims for personal injury, and for other purposes.","Gallego, Ruben [Rep.-D-AZ-7]",Democratic,04/17/2020,Became Public Law No: 116-313.,01/05/2021,1,S.3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
